Date,Time,Sport,Tournament,Home,Age,,Guests,Age,Place,URL
06.04.2019, ,Флорбол,Extraliga muži,FaBK ATU Košice,Взрослые,vs,Tsunami Záhorská Bystrica,Взрослые,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
06.04.2019, ,Флорбол,Extraliga juniori,FaBK ATU Košice,U20,vs,FK Florko Košice,U20,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
06.04.2019,11:00,Флорбол,Juniorky - Východ,Cassovia Velesis Košice,U20,vs,FBC Mikuláš Prešov,U20,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
06.04.2019,12:10,Флорбол,Juniorky - Východ,Žltý Sneh Košice - Sever,U20,vs,Fbk Kométa Spišská Nová Ves,U20,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
06.04.2019,13:20,Флорбол,Juniorky - Východ,FBC Mikuláš Prešov,U20,vs,Žltý Sneh Košice - Sever,U20,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
06.04.2019,13:30,Флорбол,Dorastenci - Východ,FaBK ATU Košice,U18,vs,FbC Young Arrows Spišská Nová Ves,U18,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
06.04.2019,14:30,Флорбол,Juniorky - Východ,Fbk Kométa Spišská Nová Ves,U20,vs,Cassovia Velesis Košice,U20,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
06.04.2019,15:40,Флорбол,Juniorky - Východ,Fbk Kométa Spišská Nová Ves,U20,vs,FBC Mikuláš Prešov,U20,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
06.04.2019,16:50,Флорбол,Juniorky - Východ,Cassovia Velesis Košice,U20,vs,Žltý Sneh Košice - Sever,U20,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
06.04.2019,18:30,Флорбол,Dorastenci - Východ,FBC Mikuláš Prešov,U18,vs,ŠK Gama Košice,U18,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
07.04.2019, ,Флорбол,Extraliga muži,FaBK ATU Košice,Взрослые,vs,Tsunami Záhorská Bystrica,Взрослые,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
29.03.2019,18:30,Хоккей,1. liga juniorov,HK Mládež Michalovce,U20,vs,HKM Zvolen,U20,at ZŠ Michalovce,https://www.hockeyslovakia.sk/sk/stats/matches/673/1-liga-juniorov/match/106159/preview
3.4.2019 ,20:00,Баскетбол,Extraliga ženy,YOUNG ANGELS Košice,Взрослые,vs,Piešťanské Čajky,Взрослые,at Košice [Angels aréna],http://msbasket.sk/program/zapasyOblast?q=program/zapasy
30.03.2019,16:00,Хоккей,1. liga juniorov,HK Mládež Michalovce,U20,vs,HC Topoľčany,U20,at ZŠ Michalovce,https://www.hockeyslovakia.sk/sk/stats/matches/673/1-liga-juniorov/match/106157/preview
30.03.2019,20:45,Хоккей,1. liga juniorov,Prešov Penguins,U20,vs,HKM Zvolen,U20,at TH STEEL Aréna Košice,https://www.hockeyslovakia.sk/sk/stats/matches/673/1-liga-juniorov/match/106156/preview
30.03.2019,20:45,Флорбол,Extraliga juniori,FK Florko Košice,U20,vs,FaBK ATU Košice,U20,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
31.03.2019,12:30,Хоккей,1. liga juniorov,Prešov Penguins,U20,vs,HC Topoľčany,U20,at STEEL Arena Košice,https://www.hockeyslovakia.sk/sk/stats/matches/673/1-liga-juniorov/match/106160/preview
31.03.2019,17:00,Флорбол,Extraliga juniori,FK Florko Košice,U20,vs,FaBK ATU Košice,U20,at ,http://statistiky.szfb.sk/aktualne/vsetky-regiony
